name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews
The Silence of the Lambs,1991,R,1h 58min,Crime; Drama; Thriller; ,14 February 1991 (USA),8.6,1223451,1298
Inglourious Basterds,2009,R,2h 33min,Adventure; Drama; War; ,21 August 2009 (USA),8.3,1219372,1856
Saving Private Ryan,1998,R,2h 49min,Drama; War; ,24 July 1998 (USA),8.6,1194194,2588
Schindler's List,1993,R,3h 15min,Biography; Drama; History; ,4 February 1994 (USA),8.9,1173324,1814
The Departed,2006,R,2h 31min,Crime; Drama; Thriller; ,6 October 2006 (USA),8.5,1150788,2313
The Prestige,2006,PG-13,2h 10min,Drama; Mystery; Sci-Fi; ,20 October 2006 (USA),8.5,1144513,1394
The Wolf of Wall Street,2013,R,3h,Biography; Crime; Drama; ,25 December 2013 (USA),8.2,1128148,1436
The Green Mile,1999,R,3h 9min,Crime; Drama; Fantasy; ,10 December 1999 (USA),8.6,1101707,1725
The Godfather: Part II,1974,R,3h 22min,Crime; Drama; ,18 December 1974 (USA),9.0,1089268,1007
American Beauty,1999,R,2h 2min,Drama; ,1 October 1999 (USA),8.3,1043085,2891
Titanic,1997,PG-13,3h 14min,Drama; Romance; ,19 December 1997 (USA),7.8,1017237,2863
American History X,1998,R,1h 59min,Drama; ,20 November 1998 (USA),8.5,1007450,1577
V for Vendetta,2005,R,2h 12min,Action; Drama; Sci-Fi; ,17 March 2006 (USA),8.2,1002944,2205
Léon: The Professional,1994,R,1h 50min,Action; Crime; Drama; ,18 November 1994 (USA),8.5,999596,1193
Goodfellas,1990,R,2h 26min,Biography; Crime; Drama; ,21 September 1990 (USA),8.7,982784,1296
Braveheart,1995,R,2h 58min,Biography; Drama; History; ,24 May 1995 (USA),8.3,936728,1271
The Lion King,1994,G,1h 28min,Animation; Adventure; Drama; ,24 June 1994 (USA),8.5,910179,1009
The Truman Show,1998,PG,1h 43min,Comedy; Drama; Sci-Fi; ,5 June 1998 (USA),8.1,901062,1151
Reservoir Dogs,1992,R,1h 39min,Crime; Drama; Thriller; ,2 September 1992 (France),8.3,889962,1145
The Sixth Sense,1999,PG-13,1h 47min,Drama; Mystery; Thriller; ,6 August 1999 (USA),8.1,888920,2223
One Flew Over the Cuckoo's Nest,1975,R,2h 13min,Drama; ,19 November 1975 (USA),8.7,884818,967
Eternal Sunshine of the Spotless Mind,2004,R,1h 48min,Drama; Romance; Sci-Fi; ,19 March 2004 (USA),8.3,882495,1800
The Shining,1980,R,2h 26min,Drama; Horror; ,13 June 1980 (USA),8.4,860290,1805
Good Will Hunting,1997,R,2h 6min,Drama; Romance; ,9 January 1998 (USA),8.3,830139,887
Gone Girl,2014,R,2h 29min,Drama; Mystery; Thriller; ,3 October 2014 (USA),8.1,825450,1449
No Country for Old Men,2007,R,2h 2min,Crime; Drama; Thriller; ,21 November 2007 (USA),8.1,823136,1824
Joker,2019,R,2h 2min,Crime; Drama; Thriller; ,4 October 2019 (USA),8.5,822351,10279
A Beautiful Mind,2001,PG-13,2h 15min,Biography; Drama; ,4 January 2002 (USA),8.2,821709,1292
Catch Me If You Can,2002,PG-13,2h 21min,Biography; Crime; Drama; ,25 December 2002 (USA),8.1,790873,828
Slumdog Millionaire,2008,R,2h,Drama; Romance; ,25 December 2008 (USA),8.0,782675,1126
Gravity,2013,PG-13,1h 31min,Drama; Sci-Fi; Thriller; ,4 October 2013 (USA),7.7,751305,2090
Requiem for a Dream,2000,R,1h 42min,Drama; ,15 December 2000 (USA),8.3,743198,2115
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2h 10min,Adventure; Drama; Fantasy; ,15 July 2011 (USA),8.1,737642,953
Avengers: Endgame,2019,PG-13,3h 1min,Action; Adventure; Drama; ,26 April 2019 (USA),8.4,736177,8805
A Clockwork Orange,1971,R,2h 16min,Crime; Drama; Sci-Fi; ,2 February 1972 (USA),8.3,735080,1553
The Martian,2015,PG-13,2h 24min,Adventure; Drama; Sci-Fi; ,2 October 2015 (USA),8.0,734923,1312
The Intouchables,2011,R,1h 52min,Biography; Comedy; Drama; ,13 July 2012 (India),8.5,731145,622
Donnie Darko,2001,R,1h 53min,Drama; Mystery; Sci-Fi; ,30 January 2002 (France),8.0,724910,2276
300,2006,R,1h 57min,Action; Drama; ,9 March 2007 (USA),7.6,719421,2176
Scarface,1983,R,2h 50min,Crime; Drama; ,9 December 1983 (USA),8.3,715023,1029
Gran Torino,2008,R,1h 56min,Drama; ,9 January 2009 (USA),8.1,703113,990
The Pianist,2002,R,2h 30min,Biography; Drama; Music; ,28 March 2003 (USA),8.5,701576,924
Taxi Driver,1976,R,1h 54min,Crime; Drama; ,9 February 1976 (USA),8.3,696631,1161
Whiplash,2014,R,1h 46min,Drama; Music; ,20 February 2015 (India),8.5,683157,1195
Black Swan,2010,R,1h 48min,Drama; Thriller; ,17 December 2010 (USA),8.0,682523,1273
City of God,2002,R,2h 10min,Crime; Drama; ,13 February 2004 (USA),8.6,681961,997
The Revenant,2015,R,2h 36min,Action; Adventure; Drama; ,8 January 2016 (USA),8.0,678829,1594
I Am Legend,2007,PG-13,1h 41min,Action; Adventure; Drama; ,14 December 2007 (USA),7.2,670748,1543
The Imitation Game,2014,PG-13,1h 54min,Biography; Drama; Thriller; ,25 December 2014 (USA),8.0,662291,825
12 Angry Men,1957,Approved,1h 36min,Crime; Drama; ,10 April 1957 (USA),8.9,661761,1575
Full Metal Jacket,1987,R,1h 56min,Drama; War; ,10 July 1987 (USA),8.3,652861,844
Silver Linings Playbook,2012,R,2h 2min,Comedy; Drama; Romance; ,25 December 2012 (USA),7.7,647995,835
The King's Speech,2010,R,1h 58min,Biography; Drama; History; ,25 December 2010 (USA),8.0,624817,754
Logan,2017,R,2h 17min,Action; Drama; Sci-Fi; ,3 March 2017 (USA),8.1,621174,1559
Trainspotting,1996,R,1h 33min,Drama; ,9 August 1996 (USA),8.1,620080,623
12 Years a Slave,2013,R,2h 14min,Biography; Drama; History; ,8 November 2013 (USA),8.1,619715,869
Million Dollar Baby,2004,PG-13,2h 12min,Drama; Sport; ,28 January 2005 (USA),8.1,618903,1219
The Social Network,2010,PG-13,2h,Biography; Drama; ,1 October 2010 (USA),7.7,604248,869
Pan's Labyrinth,2006,R,1h 58min,Drama; Fantasy; War; ,19 January 2007 (USA),8.2,603269,1271
Life Is Beautiful,1997,PG-13,1h 56min,Comedy; Drama; Romance; ,12 February 1999 (USA),8.6,600493,1317
Fargo,1996,R,1h 38min,Crime; Drama; Thriller; ,5 April 1996 (USA),8.1,596614,947
Apocalypse Now,1979,R,2h 27min,Drama; Mystery; War; ,15 August 1979 (USA),8.4,585989,1183
Prisoners,2013,R,2h 33min,Crime; Drama; Mystery; ,20 September 2013 (USA),8.1,575034,901
The Curious Case of Benjamin Button,2008,PG-13,2h 46min,Drama; Fantasy; Romance; ,25 December 2008 (USA),7.8,572217,948
Arrival,2016,PG-13,1h 56min,Drama; Mystery; Sci-Fi; ,11 November 2016 (USA),7.9,569760,1861
Life of Pi,2012,PG,2h 7min,Adventure; Drama; Fantasy; ,21 November 2012 (USA),7.9,567025,914
Birdman or (The Unexpected Virtue of Ignorance),2014,R,1h 59min,Comedy; Drama; ,14 November 2014 (USA),7.7,561800,1378
Argo,2012,R,2h,Biography; Drama; Thriller; ,12 October 2012 (USA),7.7,560352,789
Heat,1995,R,2h 50min,Crime; Drama; Thriller; ,15 December 1995 (USA),8.2,557728,1074
Into the Wild,2007,R,2h 28min,Adventure; Biography; Drama; ,19 October 2007 (USA),8.1,556447,939
Drive,2011,R,1h 40min,Crime; Drama; ,16 September 2011 (USA),7.8,554576,1521
Looper,2012,R,1h 53min,Action; Drama; Sci-Fi; ,28 September 2012 (USA),7.4,523452,761
Dunkirk,2017,PG-13,1h 46min,Action; Drama; History; ,21 July 2017 (USA),7.9,523089,2359
L.A. Confidential,1997,R,2h 18min,Crime; Drama; Mystery; ,19 September 1997 (USA),8.2,518387,710
Her,2013,R,2h 6min,Drama; Romance; Sci-Fi; ,10 January 2014 (USA),8.0,518282,1060
Cast Away,2000,PG-13,2h 23min,Adventure; Drama; Romance; ,22 December 2000 (USA),7.8,506369,1180
Casablanca,1942,PG,1h 42min,Drama; Romance; War; ,23 January 1943 (USA),8.5,506224,1292
The Notebook,2004,PG-13,2h 3min,Drama; Romance; ,25 June 2004 (USA),7.8,503872,1256
Rocky,1976,PG,2h,Drama; Sport; ,3 December 1976 (USA),8.1,502746,694
There Will Be Blood,2007,R,2h 38min,Drama; ,25 January 2008 (USA),8.2,498312,1318
Oldboy,2003,R,1h 41min,Action; Drama; Mystery; ,21 November 2003 (South Korea),8.4,496687,1000
The Hateful Eight,2015,R,2h 48min,Crime; Drama; Mystery; ,30 December 2015 (USA),7.8,493749,1430
Rise of the Planet of the Apes,2011,PG-13,1h 45min,Action; Drama; Sci-Fi; ,5 August 2011 (USA),7.6,488748,706
"I, Robot",2004,PG-13,1h 55min,Action; Drama; Sci-Fi; ,16 July 2004 (USA),7.1,488324,839
Once Upon a Time... in Hollywood,2019,R,2h 41min,Comedy; Drama; ,26 July 2019 (USA),7.7,488015,5060
Watchmen,2009,R,2h 42min,Action; Drama; Mystery; ,6 March 2009 (USA),7.6,487717,1398
Blood Diamond,2006,R,2h 23min,Adventure; Drama; Thriller; ,8 December 2006 (USA),8.0,486637,725
The Lord of the Rings: The Return of the King,2003,PG-13,3h 21min,Adventure; Drama; Fantasy; ,17 December 2003 (USA),8.9,1593859,3681
The Lord of the Rings: The Two Towers,2002,PG-13,2h 59min,Adventure; Drama; Fantasy; ,18 December 2002 (USA),8.7,1440188,2559
Star Wars: Episode IV - A New Hope,1977,PG,2h 1min,Action; Adventure; Fantasy; ,25 May 1977 (USA),8.6,1197132,1834
Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4min,Action; Adventure; Fantasy; ,20 June 1980 (USA),8.7,1124834,1214
The Green Mile,1999,R,3h 9min,Crime; Drama; Fantasy; ,10 December 1999 (USA),8.6,1101707,1725
Avatar,2009,PG-13,2h 42min,Action; Adventure; Fantasy; ,18 December 2009 (USA),7.8,1096125,3415
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23min,Action; Adventure; Fantasy; ,9 July 2003 (USA),8.0,997264,2186
Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11min,Action; Adventure; Fantasy; ,25 May 1983 (USA),8.3,922278,828
The Hobbit: An Unexpected Journey,2012,PG-13,2h 49min,Adventure; Fantasy; ,14 December 2012 (USA),7.8,743338,1430
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2h 10min,Adventure; Drama; Fantasy; ,15 July 2011 (USA),8.1,737642,953
Thor,2011,PG-13,1h 55min,Action; Adventure; Fantasy; ,6 May 2011 (USA),7.0,726753,915
Star Wars: Episode I - The Phantom Menace,1999,PG,2h 16min,Action; Adventure; Fantasy; ,19 May 1999 (USA),6.5,708990,3843
Star Wars: Episode III - Revenge of the Sith,2005,PG-13,2h 20min,Action; Adventure; Fantasy; ,19 May 2005 (USA),7.5,690205,3553
Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,2h 31min,Action; Adventure; Fantasy; ,7 July 2006 (USA),7.3,641045,1889
Star Wars: Episode II - Attack of the Clones,2002,PG,2h 22min,Action; Adventure; Fantasy; ,16 May 2002 (USA),6.5,621911,3652
Harry Potter and the Sorcerer's Stone,2001,PG,2h 32min,Adventure; Fantasy; ,16 November 2001 (USA),7.6,618786,1737
Pan's Labyrinth,2006,R,1h 58min,Drama; Fantasy; War; ,19 January 2007 (USA),8.2,603269,1271
The Hobbit: The Desolation of Smaug,2013,PG-13,2h 41min,Adventure; Fantasy; ,13 December 2013 (USA),7.8,588294,985
Pirates of the Caribbean: At World's End,2007,PG-13,2h 49min,Action; Adventure; Fantasy; ,25 May 2007 (USA),7.1,582275,1290
Suicide Squad,2016,PG-13,2h 3min,Action; Adventure; Fantasy; ,5 August 2016 (USA),6.0,581986,2253
Thor: The Dark World,2013,PG-13,1h 52min,Action; Adventure; Fantasy; ,8 November 2013 (USA),6.9,578425,695
Doctor Strange,2016,PG-13,1h 55min,Action; Adventure; Fantasy; ,4 November 2016 (USA),7.5,573177,945
The Curious Case of Benjamin Button,2008,PG-13,2h 46min,Drama; Fantasy; Romance; ,25 December 2008 (USA),7.8,572217,948
Life of Pi,2012,PG,2h 7min,Adventure; Drama; Fantasy; ,21 November 2012 (USA),7.9,567025,914
Groundhog Day,1993,PG,1h 41min,Comedy; Fantasy; Romance; ,12 February 1993 (USA),8.0,566223,769
Star Wars: Episode VIII - The Last Jedi,2017,PG-13,2h 32min,Action; Adventure; Fantasy; ,15 December 2017 (USA),7.0,543307,6691
Harry Potter and the Chamber of Secrets,2002,PG,2h 41min,Adventure; Fantasy; ,15 November 2002 (USA),7.4,531256,930
Wonder Woman,2017,PG-13,2h 21min,Action; Adventure; Fantasy; ,2 June 2017 (USA),7.4,531221,2179
Harry Potter and the Prisoner of Azkaban,2004,PG,2h 22min,Adventure; Fantasy; ,4 June 2004 (USA),7.9,528503,1592
Harry Potter and the Goblet of Fire,2005,PG-13,2h 37min,Adventure; Fantasy; ,18 November 2005 (USA),7.7,526115,1980
Zombieland,2009,R,1h 28min,Adventure; Comedy; Fantasy; ,2 October 2009 (USA),7.6,507361,713
Monty Python and the Holy Grail,1975,PG,1h 31min,Adventure; Comedy; Fantasy; ,6 December 1979 (India),8.2,488482,774
Pirates of the Caribbean: On Stranger Tides,2011,PG-13,2h 16min,Action; Adventure; Fantasy; ,20 May 2011 (USA),6.6,469914,535
The Hobbit: The Battle of the Five Armies,2014,PG-13,2h 24min,Adventure; Fantasy; ,17 December 2014 (USA),7.4,461617,883
Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,2h 26min,Adventure; Fantasy; ,19 November 2010 (USA),7.7,459135,691
Edward Scissorhands,1990,PG-13,1h 45min,Drama; Fantasy; Romance; ,14 December 1990 (USA),7.9,434894,656
Hancock,2008,PG-13,1h 32min,Action; Fantasy; ,2 July 2008 (USA),6.4,434772,654
Twilight,2008,PG-13,2h 2min,Drama; Fantasy; Romance; ,21 November 2008 (USA),5.2,413276,1654
Beauty and the Beast,1991,G,1h 24min,Animation; Fantasy; ,22 November 1991 (USA),8.0,408618,433
Big Fish,2003,PG-13,2h 5min,Adventure; Drama; Fantasy; ,9 January 2004 (USA),8.0,406042,874
Fantastic Beasts and Where to Find Them,2016,PG-13,2h 12min,Adventure; Fantasy; ,18 November 2016 (USA),7.3,395319,820
It's a Wonderful Life,1946,Passed,2h 10min,Drama; Fantasy; ,7 January 1947 (USA),8.6,385375,939
The Mummy,1999,PG-13,2h 4min,Action; Adventure; Fantasy; ,7 May 1999 (USA),7.0,382315,1056
The Princess Bride,1987,PG,1h 38min,Adventure; Fantasy; ,9 October 1987 (USA),8.1,382045,844
Midnight in Paris,2011,PG-13,1h 34min,Comedy; Fantasy; Romance; ,10 June 2011 (USA),7.7,376575,609
Alice in Wonderland,2010,PG,1h 48min,Adventure; Fantasy; ,5 March 2010 (USA),6.4,374817,790
Justice League,2017,PG-13,2h,Action; Adventure; Fantasy; ,17 November 2017 (USA),6.4,367091,1997
The Wizard of Oz,1939,PG,1h 42min,Adventure; Fantasy; ,25 August 1939 (USA),8.0,364936,681
Scott Pilgrim vs. the World,2010,PG-13,1h 52min,Action; Comedy; Fantasy; ,13 August 2010 (USA),7.5,364197,663
Bruce Almighty,2003,PG-13,1h 41min,Comedy; Drama; Fantasy; ,23 May 2003 (USA),6.8,363587,640
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,2h 23min,Adventure; Fantasy; ,9 December 2005 (USA),6.9,356904,1506
The Shape of Water,2017,R,2h 3min,Adventure; Drama; Fantasy; ,22 December 2017 (USA),7.3,353658,1589
Wanted,2008,R,1h 50min,Action; Crime; Fantasy; ,27 June 2008 (USA),6.7,353620,779
The Illusionist,2006,PG-13,1h 50min,Drama; Fantasy; History; ,1 September 2006 (USA),7.6,349169,687
Ghostbusters,1984,PG,1h 45min,Action; Comedy; Fantasy; ,8 June 1984 (USA),7.8,344694,555
Aquaman,2018,PG-13,2h 23min,Action; Adventure; Fantasy; ,21 December 2018 (USA),7.0,341895,3845
Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,2h 22min,Action; Adventure; Fantasy; ,20 December 2019 (USA),6.7,337831,7460
Princess Mononoke,1997,PG-13,2h 14min,Animation; Adventure; Fantasy; ,19 December 1997 (USA),8.4,326489,702
Sleepy Hollow,1999,R,1h 45min,Fantasy; Horror; Mystery; ,19 November 1999 (USA),7.3,320861,1023
Fantastic Four,2005,PG-13,1h 46min,Action; Adventure; Fantasy; ,8 July 2005 (USA),5.7,306644,1024
Being John Malkovich,1999,R,1h 53min,Comedy; Drama; Fantasy; ,3 December 1999 (USA),7.7,301714,878
Hellboy,2004,PG-13,2h 2min,Action; Fantasy; Horror; ,2 April 2004 (USA),6.8,301510,649
Click,2006,PG-13,1h 47min,Comedy; Drama; Fantasy; ,23 June 2006 (USA),6.4,298607,774
Hugo,2011,PG,2h 6min,Drama; Fantasy; ,23 November 2011 (USA),7.5,297933,749
Constantine,2005,R,2h 1min,Action; Fantasy; Horror; ,18 February 2005 (USA),7.0,296689,1074
The Mummy Returns,2001,PG-13,2h 10min,Action; Adventure; Fantasy; ,4 May 2001 (USA),6.3,295189,924
About Time,2013,R,2h 3min,Comedy; Drama; Fantasy; ,8 November 2013 (USA),7.8,287246,640
The Secret Life of Walter Mitty,2013,PG,1h 54min,Comedy; Drama; Fantasy; ,25 December 2013 (USA),7.3,286991,648
The Nightmare Before Christmas,1993,PG,1h 16min,Animation; Fantasy; ,29 October 1993 (USA),8.0,283685,522
Liar Liar,1997,PG-13,1h 26min,Comedy; Fantasy; ,21 March 1997 (USA),6.9,274268,290
My Neighbor Totoro,1988,G,1h 26min,Animation; Fantasy; ,13 July 1990 (USA),8.2,273795,464
Batman Returns,1992,PG-13,2h 6min,Action; Crime; Fantasy; ,19 June 1992 (USA),7.0,267156,679
Prince of Persia: The Sands of Time,2010,PG-13,1h 56min,Action; Adventure; Fantasy; ,28 May 2010 (USA),6.6,266583,478
Clash of the Titans,2010,PG-13,1h 46min,Action; Adventure; Fantasy; ,2 April 2010 (USA),5.8,265931,679
Beauty and the Beast,2017,PG,2h 9min,Fantasy; ,17 March 2017 (USA),7.1,261369,1122
Kong: Skull Island,2017,PG-13,1h 58min,Action; Adventure; Fantasy; ,10 March 2017 (USA),6.6,259866,945
The Twilight Saga: New Moon,2009,PG-13,2h 10min,Adventure; Drama; Fantasy; ,20 November 2009 (USA),4.7,258910,955
Pirates of the Caribbean: Dead Men Tell No Tales,2017,PG-13,2h 9min,Action; Adventure; Fantasy; ,26 May 2017 (USA),6.6,251787,652
Hellboy II: The Golden Army,2008,PG-13,2h,Action; Adventure; Fantasy; ,11 July 2008 (USA),7.0,251482,375
1408,2007,PG-13,1h 44min,Fantasy; Horror; Mystery; ,22 June 2007 (USA),6.8,250909,635
Beetlejuice,1988,PG,1h 32min,Comedy; Fantasy; ,30 March 1988 (USA),7.5,249689,372
"Crouching Tiger, Hidden Dragon",2000,PG-13,2h,Action; Adventure; Fantasy; ,12 January 2001 (USA),7.8,248473,1670
Stardust,2007,PG-13,2h 7min,Adventure; Fantasy; ,10 August 2007 (USA),7.6,248403,554
Underworld,2003,R,2h 1min,Action; Fantasy; Thriller; ,19 September 2003 (USA),7.0,248222,833
Fantastic 4: Rise of the Silver Surfer,2007,PG,1h 32min,Action; Adventure; Fantasy; ,15 June 2007 (USA),5.6,246767,468
Vanilla Sky,2001,R,2h 16min,Fantasy; Mystery; Romance; ,14 December 2001 (USA),6.9,243020,1293
Dark Shadows,2012,PG-13,1h 53min,Comedy; Fantasy; Horror; ,11 May 2012 (USA),6.2,241602,528
Van Helsing,2004,PG-13,2h 11min,Action; Adventure; Fantasy; ,7 May 2004 (USA),6.1,239437,1373
Warcraft,2016,PG-13,2h 3min,Action; Adventure; Fantasy; ,10 June 2016 (USA),6.8,236996,983
The Little Mermaid,1989,G,1h 23min,Animation; Fantasy; ,17 November 1989 (USA),7.6,229928,279
Sucker Punch,2011,PG-13,1h 50min,Action; Adventure; Fantasy; ,25 March 2011 (USA),6.0,226057,1022
The Twilight Saga: Breaking Dawn - Part 2,2012,PG-13,1h 55min,Adventure; Drama; Fantasy; ,16 November 2012 (USA),5.5,224813,374
The Twilight Saga: Eclipse,2010,PG-13,2h 4min,Adventure; Drama; Fantasy; ,30 June 2010 (USA),5.0,221496,529
Ender's Game,2013,PG-13,1h 54min,Action; Adventure; Fantasy; ,1 November 2013 (USA),6.6,219357,626
Ghost Rider,2007,PG-13,1h 50min,Action; Fantasy; Thriller; ,16 February 2007 (USA),5.2,218901,724
The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,1h 57min,Adventure; Drama; Fantasy; ,18 November 2011 (USA),4.9,217803,477
Stranger Than Fiction,2006,PG-13,1h 53min,Comedy; Drama; Fantasy; ,10 November 2006 (USA),7.5,214510,595
Elf,2003,PG,1h 37min,Comedy; Fantasy; ,7 November 2003 (USA),6.9,210512,501
Aladdin,2019,PG,2h 8min,Adventure; Fantasy; ,24 May 2019 (USA),7.0,210488,2281
Mr. Nobody,2009,R,2h 21min,Drama; Fantasy; Romance; ,26 September 2013 (USA),7.8,210310,391
Schindler's List,1993,R,3h 15min,Biography; Drama; History; ,4 February 1994 (USA),8.9,1173324,1814
Braveheart,1995,R,2h 58min,Biography; Drama; History; ,24 May 1995 (USA),8.3,936728,1271
The King's Speech,2010,R,1h 58min,Biography; Drama; History; ,25 December 2010 (USA),8.0,624817,754
12 Years a Slave,2013,R,2h 14min,Biography; Drama; History; ,8 November 2013 (USA),8.1,619715,869
Dunkirk,2017,PG-13,1h 46min,Action; Drama; History; ,21 July 2017 (USA),7.9,523089,2359
Troy,2004,R,2h 43min,Drama; History; ,14 May 2004 (USA),7.2,476975,1789
Hacksaw Ridge,2016,R,2h 19min,Biography; Drama; History; ,4 November 2016 (USA),8.1,412911,893
Amadeus,1984,R,2h 40min,Biography; Drama; History; ,19 September 1984 (USA),8.3,358503,634
Black Hawk Down,2001,R,2h 24min,Drama; History; War; ,18 January 2002 (USA),7.7,356185,1153
The Illusionist,2006,PG-13,1h 50min,Drama; Fantasy; History; ,1 September 2006 (USA),7.6,349169,687
Hotel Rwanda,2004,PG-13,2h 1min,Biography; Drama; History; ,4 February 2005 (USA),8.1,327493,669
Downfall,2004,R,2h 36min,Biography; Drama; History; ,8 April 2005 (USA),8.2,322655,633
Pearl Harbor,2001,PG-13,3h 3min,Action; Drama; History; ,25 May 2001 (USA),6.2,305503,2022
Les Misérables,2012,PG-13,2h 38min,Drama; History; ,25 December 2012 (USA),7.6,300852,968
Gone with the Wind,1939,Passed,3h 58min,Drama; History; Romance; ,17 January 1940 (USA),8.1,281414,870
Bridge of Spies,2015,PG-13,2h 22min,Drama; History; Thriller; ,16 October 2015 (USA),7.6,278999,465
Zero Dark Thirty,2012,R,2h 37min,Drama; History; Thriller; ,11 January 2013 (USA),7.4,264555,709
Apollo 13,1995,PG,2h 20min,Adventure; Drama; History; ,30 June 1995 (USA),7.6,260497,385
The Patriot,2000,R,2h 45min,Action; Drama; History; ,28 June 2000 (USA),7.2,249168,1189
Lincoln,2012,PG-13,2h 30min,Biography; Drama; History; ,16 November 2012 (USA),7.3,239112,794
Enemy at the Gates,2001,R,2h 11min,Drama; History; War; ,16 March 2001 (USA),7.6,236660,706
21,2008,PG-13,2h 3min,Crime; Drama; History; ,28 March 2008 (USA),6.8,224589,311
Valkyrie,2008,PG-13,2h 1min,Drama; History; Thriller; ,25 December 2008 (USA),7.1,223620,468
The Great Escape,1963,Not Rated,2h 52min,Adventure; Drama; History; ,4 July 1963 (USA),8.2,217996,356
Gandhi,1982,PG,3h 11min,Biography; Drama; History; ,25 February 1983 (USA),8.0,214287,298
Ben-Hur,1959,G,3h 32min,Adventure; Drama; History; ,29 January 1960 (Brazil),8.1,213444,443
Shakespeare in Love,1998,R,2h 3min,Comedy; Drama; History; ,8 January 1999 (USA),7.1,209979,780
Munich,2005,R,2h 44min,Action; Drama; History; ,6 January 2006 (USA),7.5,207019,856
Hidden Figures,2016,PG,2h 7min,Biography; Drama; History; ,6 January 2017 (USA),7.8,191159,500
The Impossible,2012,PG-13,1h 54min,Drama; History; Thriller; ,4 January 2013 (USA),7.6,190768,423
Straight Outta Compton,2015,R,2h 27min,Biography; Drama; History; ,14 August 2015 (USA),7.9,174973,385
Cinderella Man,2005,PG-13,2h 24min,Biography; Drama; History; ,3 June 2005 (USA),8.0,172730,595
The Last King of Scotland,2006,R,2h 3min,Biography; Drama; History; ,19 January 2007 (USA),7.7,172012,371
Hero,2002,PG-13,2h,Action; Adventure; History; ,27 August 2004 (USA),7.9,171351,864
First Man,2018,PG-13,2h 21min,Biography; Drama; History; ,12 October 2018 (USA),7.3,155735,1305
Invictus,2009,PG-13,2h 14min,Biography; Drama; History; ,11 December 2009 (USA),7.3,146805,277
Deepwater Horizon,2016,PG-13,1h 47min,Action; Drama; History; ,30 September 2016 (USA),7.1,145401,281
Barry Lyndon,1975,PG,3h 5min,Adventure; Drama; History; ,18 December 1975 (USA),8.1,143733,457
JFK,1991,R,3h 9min,Drama; History; Thriller; ,20 December 1991 (USA),8.0,137425,485
Cold Mountain,2003,R,2h 34min,Adventure; Drama; History; ,25 December 2003 (USA),7.2,137401,696
Defiance,2008,R,2h 17min,Action; Drama; History; ,16 January 2009 (USA),7.2,135323,265
We Were Soldiers,2002,R,2h 18min,Action; Drama; History; ,1 March 2002 (USA),7.2,127187,770
The Monuments Men,2014,PG-13,1h 58min,Comedy; Drama; History; ,7 February 2014 (USA),6.1,122173,443
Glory,1989,R,2h 2min,Biography; Drama; History; ,16 February 1990 (USA),7.8,117966,444
The 13th Warrior,1999,R,1h 42min,Action; Adventure; History; ,27 August 1999 (USA),6.6,114167,581
Empire of the Sun,1987,PG,2h 33min,Action; Drama; History; ,25 December 1987 (USA),7.7,112275,342
Rang De Basanti,2006,Not Rated,2h 47min,Comedy; Drama; History; ,26 January 2006 (USA),8.2,107678,361
The Way Back,2010,PG-13,2h 13min,Adventure; Drama; History; ,21 January 2011 (USA),7.3,107455,202
Across the Universe,2007,PG-13,2h 13min,Drama; Fantasy; History; ,12 October 2007 (USA),7.3,104638,549
The Queen,2006,PG-13,1h 43min,Biography; Drama; History; ,17 November 2006 (USA),7.3,101904,456
The Other Boleyn Girl,2008,PG-13,1h 55min,Biography; Drama; History; ,29 February 2008 (USA),6.7,101416,272
Frost_Nixon,2008,R,2h 2min,Biography; Drama; History; ,23 January 2009 (USA),7.7,100750,265
All the President's Men,1976,PG,2h 18min,Biography; Drama; History; ,9 April 1976 (USA),8.0,98972,243
Marie Antoinette,2006,PG-13,2h 3min,Biography; Drama; History; ,20 October 2006 (USA),6.4,97923,666
The Good Shepherd,2006,R,2h 47min,Drama; History; Thriller; ,22 December 2006 (USA),6.7,96881,509
United 93,2006,R,1h 51min,Drama; History; Sci-Fi; ,28 April 2006 (USA),7.5,96591,862
Silence,2016,R,2h 41min,Drama; History; ,13 January 2017 (USA),7.2,96094,431
"Good Night, and Good Luck.",2005,PG,1h 33min,Biography; Drama; History; ,4 November 2005 (USA),7.4,92714,542
The Last Emperor,1987,PG-13,2h 43min,Biography; Drama; History; ,15 April 1988 (USA),7.7,91046,170
Elizabeth,1998,R,2h 4min,Biography; Drama; History; ,19 February 1999 (USA),7.4,90737,431
Mississippi Burning,1988,R,2h 8min,Crime; Drama; History; ,27 January 1989 (USA),7.8,84598,209
The Grapes of Wrath,1940,Passed,2h 9min,Drama; History; ,15 March 1940 (USA),8.0,84223,338
